the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation,any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes,one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose),(biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA,"the basic unit of electric current adopted under the Systeme International d'Unites; ""a typical household circuit carries 15 to 50 amps""",the 1st letter of the Roman alphabet,the blood group whose red cells carry the A antigen,,,,,,,,,,,,,,,,,,,,,,,,,,
is,"have the quality of being; (copula, used with an adjective or a predicate noun); ""John is rich""; ""This is not a good answer""","be identical to; be someone or something; ""The president of the company is John Smith""; ""This is my house""","occupy a certain position or area; be somewhere; ""Where is my umbrella?"" ""The toolshed is in the back""; ""What is behind this behavior?""","have an existence, be extant; ""Is there a God?""","happen, occur, take place; ""I lost my wallet; this was during the visit to my parents' house""; ""There were two hundred people at his funeral""; ""There was a lot of noise in the kitchen""","be identical or equivalent to; ""One dollar equals 1,000 rubles these days!""","form or compose; ""This money is my only income""; ""The stone wall was the backdrop for the performance""; ""These constitute my entire belonging""; ""The children made up the chorus""; ""This sum represents my entire income for a year""; ""These few men comprise his entire army""","work in a specific place, with a specific subject, or in a specific function; ""He is a herpetologist""; ""She is our resident philosopher""","represent, as of a character on stage; ""Derek Jacobi was Hamlet""","spend or use time; ""I may be an hour""","have life, be alive; ""Our great leader is no more""; ""My grandfather lived until the end of war""","to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form; ""let her be""","be priced at; ""These shoes cost $100""",,,,,,,,,,,,,,,,,,,,
in,a unit of length equal to one twelfth of a foot,a rare soft silvery metallic element; occurs in small quantities in sphalerite,a state in midwestern United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he,a very light colorless element that is one of the six inert gasses; the most difficult gas to liquefy; occurs in economically extractable amounts in certain natural gases (as those found in Texas and Kansas),the 5th letter of the Hebrew alphabet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have,a person who possesses great material wealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be,a light strong brittle grey toxic bivalent metallic element,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
not,"negation of a word or group of words; ""he does not speak French""; ""she is not going""; ""they are not friends""; ""not many""; ""not much""; ""not at all""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
on,"with a forward motion; ""we drove along admiring the view""; ""the horse trotted along at a steady pace""; ""the circus traveled on to the next city""; ""move along""; ""march on""","indicates continuity or persistence or concentration; ""his spirit lives on""; ""shall I read on?""","in a state required for something to function or be effective; ""turn the lights on""; ""get a load on""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
